A_index,B_index,erreur
< cv2.DMatch 000001FB596233B0>,< cv2.DMatch 000001FB596233D0>,1261
< cv2.DMatch 000001FB596233F0>,< cv2.DMatch 000001FB59623410>,1466
< cv2.DMatch 000001FB59623430>,< cv2.DMatch 000001FB59623450>,1257
< cv2.DMatch 000001FB59623470>,< cv2.DMatch 000001FB596234B0>,2171
< cv2.DMatch 000001FB596234D0>,< cv2.DMatch 000001FB59623510>,1221
< cv2.DMatch 000001FB59623530>,< cv2.DMatch 000001FB59623550>,1446
< cv2.DMatch 000001FB596235F0>,< cv2.DMatch 000001FB59623610>,355
< cv2.DMatch 000001FB59623630>,< cv2.DMatch 000001FB59623650>,166
< cv2.DMatch 000001FB59623670>,< cv2.DMatch 000001FB59623690>,469
< cv2.DMatch 000001FB596236D0>,< cv2.DMatch 000001FB596236F0>,1213
< cv2.DMatch 000001FB59623730>,< cv2.DMatch 000001FB59623770>,369
< cv2.DMatch 000001FB59623790>,< cv2.DMatch 000001FB596237B0>,362
< cv2.DMatch 000001FB596237F0>,< cv2.DMatch 000001FB59623850>,165
< cv2.DMatch 000001FB59623870>,< cv2.DMatch 000001FB59623890>,201
< cv2.DMatch 000001FB596238B0>,< cv2.DMatch 000001FB59623950>,581
< cv2.DMatch 000001FB59623970>,< cv2.DMatch 000001FB59623990>,665
< cv2.DMatch 000001FB596239B0>,< cv2.DMatch 000001FB596239D0>,326
< cv2.DMatch 000001FB59623A10>,< cv2.DMatch 000001FB59623A30>,428
< cv2.DMatch 000001FB59623A50>,< cv2.DMatch 000001FB59623A70>,329
< cv2.DMatch 000001FB59623A90>,< cv2.DMatch 000001FB59623AB0>,927
< cv2.DMatch 000001FB59623AF0>,< cv2.DMatch 000001FB59623B50>,253
< cv2.DMatch 000001FB59623B70>,< cv2.DMatch 000001FB59623B90>,445
< cv2.DMatch 000001FB59623BB0>,< cv2.DMatch 000001FB59623BF0>,2518
< cv2.DMatch 000001FB59623C10>,< cv2.DMatch 000001FB59623C30>,2188
< cv2.DMatch 000001FB59623C50>,< cv2.DMatch 000001FB59623C70>,1633
< cv2.DMatch 000001FB59623C90>,< cv2.DMatch 000001FB59623CB0>,120
< cv2.DMatch 000001FB59623CD0>,< cv2.DMatch 000001FB59623CF0>,1150
< cv2.DMatch 000001FB59623D10>,< cv2.DMatch 000001FB59623D30>,210
< cv2.DMatch 000001FB59623D50>,< cv2.DMatch 000001FB59623D70>,1054
< cv2.DMatch 000001FB59623D90>,< cv2.DMatch 000001FB59623DB0>,1092
< cv2.DMatch 000001FB59623DD0>,< cv2.DMatch 000001FB59623E10>,438
< cv2.DMatch 000001FB59623E30>,< cv2.DMatch 000001FB59623E50>,850
< cv2.DMatch 000001FB59623E70>,< cv2.DMatch 000001FB59623E90>,531
< cv2.DMatch 000001FB59623EB0>,< cv2.DMatch 000001FB59623ED0>,3144
< cv2.DMatch 000001FB59623EF0>,< cv2.DMatch 000001FB59623F10>,57
< cv2.DMatch 000001FB59623F50>,< cv2.DMatch 000001FB59623F70>,506
< cv2.DMatch 000001FB59623FD0>,< cv2.DMatch 000001FB596234F0>,1000
< cv2.DMatch 000001FB596203B0>,< cv2.DMatch 000001FB59620470>,1724
< cv2.DMatch 000001FB59621470>,< cv2.DMatch 000001FB596201F0>,21
< cv2.DMatch 000001FB59620610>,< cv2.DMatch 000001FB596208F0>,2371
< cv2.DMatch 000001FB596209F0>,< cv2.DMatch 000001FB59620AB0>,283
< cv2.DMatch 000001FB59620C10>,< cv2.DMatch 000001FB59620C50>,2871
< cv2.DMatch 000001FB59620C90>,< cv2.DMatch 000001FB59620630>,274
< cv2.DMatch 000001FB596218F0>,< cv2.DMatch 000001FB596204D0>,154
< cv2.DMatch 000001FB59620930>,< cv2.DMatch 000001FB596208D0>,2075
< cv2.DMatch 000001FB59620AD0>,< cv2.DMatch 000001FB59621B50>,628
< cv2.DMatch 000001FB59620550>,< cv2.DMatch 000001FB59620490>,447
< cv2.DMatch 000001FB59620D30>,< cv2.DMatch 000001FB59620D10>,1792
< cv2.DMatch 000001FB59620030>,< cv2.DMatch 000001FB59620070>,205
< cv2.DMatch 000001FB59620090>,< cv2.DMatch 000001FB596200D0>,1476
< cv2.DMatch 000001FB596200F0>,< cv2.DMatch 000001FB59620110>,205
< cv2.DMatch 000001FB59620150>,< cv2.DMatch 000001FB59620170>,1168
< cv2.DMatch 000001FB59620190>,< cv2.DMatch 000001FB596201B0>,129
< cv2.DMatch 000001FB596201D0>,< cv2.DMatch 000001FB59620210>,1508
< cv2.DMatch 000001FB59620250>,< cv2.DMatch 000001FB59620270>,422
< cv2.DMatch 000001FB59620290>,< cv2.DMatch 000001FB596202D0>,2838
< cv2.DMatch 000001FB596202F0>,< cv2.DMatch 000001FB59620310>,2178
< cv2.DMatch 000001FB59620330>,< cv2.DMatch 000001FB59620350>,1299
< cv2.DMatch 000001FB59620370>,< cv2.DMatch 000001FB59620390>,2176
